Sample in Buffer,Sample in Window,TRIGGER,clk_IBUF_BUFG,control,add[15:0],RD[31:0],PC[31:0],num[31:0]
0,0,1,0,1,1893,11111111010111011111001011000111,421519676,1951024
1,1,0,0,1,1894,11111111011001000011110111001111,421519676,1951024
2,2,0,0,1,1895,11111111011010101010010010000100,421519677,1951024
3,3,0,0,1,1896,11111111011100010011100010001011,421519677,1951024
4,4,0,0,1,1897,11111111011101111111000101101011,421519677,1951024
5,5,0,0,1,1898,11111111011111101100001100110001,421519677,1951024
6,6,0,0,1,1899,11111111100001011100000101100110,421519678,1951024
7,7,0,0,1,1900,11111111100011001101100100011101,421519678,1951024
8,8,0,0,1,1901,11111111100101000000101111100101,421519678,1951024
9,9,0,0,1,1902,11111111100110110110010000111010,421519678,1951024
10,10,0,0,1,1903,11111111101000101100100111100010,421519679,1951024
11,11,0,0,1,1904,11111111101010100100101001100110,421519679,1951024
12,12,0,0,1,1905,11111111101100011110010011001011,421519679,1951024
13,13,0,0,1,1906,11111111101110011000100010110000,421519679,1951024
14,14,0,0,1,1907,11111111110000010100100111111000,421519680,1951024
15,15,0,0,1,1908,11111111110010010001100100010000,421519680,1951024
16,16,0,0,1,1909,11111111110100001110111110011010,421519680,1951024
17,17,0,0,1,1910,11111111110110001101110010011011,421519680,1951024
18,18,0,0,1,1911,11111111111000001100100011110100,421519681,1951024
19,19,0,0,1,1912,11111111111010001011110100110001,421519681,1951024
20,20,0,0,1,1913,11111111111100001011111101001000,421519681,1951024
21,21,0,0,1,1914,11111111111110001011101101110110,421519681,1951024
22,22,0,0,1,1915,00000000000000001100001111111111,421519682,1951024
23,23,0,0,1,1916,00000000000010001100110111111011,421519682,1951024
24,24,0,0,1,1917,00000000000100001100101010100000,421519682,1951024
25,25,0,0,1,1918,00000000000110001100101110000101,421519682,1951024
26,26,0,0,1,1919,00000000001000001011111011001011,421519683,1951024
27,27,0,0,1,1920,00000000001010001010100100111001,421519683,1951024
28,28,0,0,1,1921,00000000001100001001010110101011,421519683,1951024
29,29,0,0,1,1922,00000000001110000110101000011010,421519683,1951024
30,30,0,0,1,1923,00000000010000000011001010011001,421519684,1951024
31,31,0,0,1,1924,00000000010001111110111000111001,421519684,1951024
32,32,0,0,1,1925,00000000010011111000111011000000,421519684,1951024
33,33,0,0,1,1926,00000000010101110010100001010011,421519684,1951024
34,34,0,0,1,1927,00000000010111101010100100110111,421519685,1951024
35,35,0,0,1,1928,00000000011001100000101001100110,421519685,1951024
36,36,0,0,1,1929,00000000011011010101101111101001,421519685,1951024
37,37,0,0,1,1930,00000000011101001000100011001011,421519685,1951024
38,38,0,0,1,1931,00000000011110111001101000110111,421519686,1951024
39,39,0,0,1,1932,00000000100000101001001100000111,421519686,1951024
40,40,0,0,1,1933,00000000100010010101110100010010,421519686,1951024
41,41,0,0,1,1934,00000000100100000000101110010100,421519686,1951024
42,42,0,0,1,1935,00000000100101101001011101101111,421519687,1951024
43,43,0,0,1,1936,00000000100111001111011001111001,421519687,1951024
44,44,0,0,1,1937,00000000101000110011101001100110,421519687,1951024
45,45,0,0,1,1938,00000000101010010100110101111110,421519687,1951024
46,46,0,0,1,1939,00000000101011110011000110111011,421519688,1951024
47,47,0,0,1,1940,00000000101101001111001001111011,421519688,1951024
48,48,0,0,1,1941,00000000101110100111101000110111,421519688,1951024
49,49,0,0,1,1942,00000000101111111101100011011100,421519688,1951024
50,50,0,0,1,1943,00000000110001010000110010010010,421519689,1951024
51,51,0,0,1,1944,00000000110010100000010011011101,421519689,1951024
52,52,0,0,1,1945,00000000110011101101010011010100,421519689,1951024
53,53,0,0,1,1946,00000000110100110110101111111111,421519689,1951024
54,54,0,0,1,1947,00000000110101111100010111110010,421519690,1951024
55,55,0,0,1,1948,00000000110110111111001100100111,421519690,1951024
56,56,0,0,1,1949,00000000110111111101111100010100,421519690,1951024
57,57,0,0,1,1950,00000000111000111001010101100010,421519690,1951024
58,58,0,0,1,1951,00000000111001110001101101010110,421519691,1951024
59,59,0,0,1,1952,00000000111010100101110000100100,421519691,1951024
60,60,0,0,1,1953,00000000111011010110100110000111,421519691,1951024
61,61,0,0,1,1954,00000000111100000011100110010111,421519691,1951024
62,62,0,0,1,1955,00000000111100101100001010110101,421519692,1951024
63,63,0,0,1,1956,00000000111101010001100110000010,421519692,1951024
64,64,0,0,1,1957,00000000111101110010101111111110,421519692,1951024
65,65,0,0,1,1958,00000000111110001111111011101111,421519692,1951024
66,66,0,0,1,1959,00000000111110101001110100101011,421519693,1951024
67,67,0,0,1,1960,00000000111110111110111111101110,421519693,1951024
68,68,0,0,1,1961,00000000111111010000011011110111,421519693,1951024
69,69,0,0,1,1962,00000000111111011110000101001011,421519693,1951024
70,70,0,0,1,1963,00000000111111100111000110101010,421519694,1951024
71,71,0,0,1,1964,00000000111111101100111000010000,421519694,1951024
72,72,0,0,1,1965,00000000111111101110011100011111,421519694,1951024
73,73,0,0,1,1966,00000000111111101011100100001000,421519694,1951024
74,74,0,0,1,1967,00000000111111100101001111100001,421519695,1951024
75,75,0,0,1,1968,00000000111111011010001110101011,421519695,1951024
76,76,0,0,1,1969,00000000111111001011010111111100,421519695,1951024
77,77,0,0,1,1970,00000000111110111001000101000111,421519695,1951024
78,78,0,0,1,1971,00000000111110100010001001101101,421519696,1951024
79,79,0,0,1,1972,00000000111110000111110010101111,421519696,1951024
80,80,0,0,1,1973,00000000111101101001011100010111,421519696,1951024
81,81,0,0,1,1974,00000000111101000110100110011110,421519696,1951024
82,82,0,0,1,1975,00000000111100100000100100101101,421519697,1951024
83,83,0,0,1,1976,00000000111011110110001111000100,421519697,1951024
84,84,0,0,1,1977,00000000111011000111111111111011,421519697,1951024
85,85,0,0,1,1978,00000000111010010110101011110100,421519697,1951024
86,86,0,0,1,1979,00000000111001100001000011010010,421519698,1951024
87,87,0,0,1,1980,00000000111000101000001010100100,421519698,1951024
88,88,0,0,1,1981,00000000110111101011111000000110,421519698,1951024
89,89,0,0,1,1982,00000000110110101011010101010100,421519698,1951024
90,90,0,0,1,1983,00000000110101100111111111010100,421519699,1951024
91,91,0,0,1,1984,00000000110100100001000011010111,421519699,1951024
92,92,0,0,1,1985,00000000110011010110011111000000,421519699,1951024
93,93,0,0,1,1986,00000000110010001001010100011101,421519699,1951024
94,94,0,0,1,1987,00000000110000111000010001110001,421519700,1951024
95,95,0,0,1,1988,00000000101111100100001111111000,421519700,1951024
96,96,0,0,1,1989,00000000101110001101101101001100,421519700,1951024
97,97,0,0,1,1990,00000000101100110011100110111011,421519700,1951024
98,98,0,0,1,1991,00000000101011010111001111111111,421519701,1951024
99,99,0,0,1,1992,00000000101001111000000011110111,421519701,1951024
100,100,0,0,1,1993,00000000101000010101100110010000,421519701,1951024
101,101,0,0,1,1994,00000000100110110001010001000010,421519701,1951024
102,102,0,0,1,1995,00000000100101001010000101001000,421519702,1951024
103,103,0,0,1,1996,00000000100011100000100101001001,421519702,1951024
104,104,0,0,1,1997,00000000100001110101100010111001,421519702,1951024
105,105,0,0,1,1998,00000000100000000111101011000001,421519702,1951024
106,106,0,0,1,1999,00000000011110011000000010011110,421519703,1951024
107,107,0,0,1,2000,00000000011100100110100011100000,421519703,1951024
108,108,0,0,1,2001,00000000011010110010100001001011,421519703,1951024
109,109,0,0,1,2002,00000000011000111101011110010110,421519703,1951024
110,110,0,0,1,2003,00000000010111000110101010101101,421519704,1951024
111,111,0,0,1,2004,00000000010101001110001001110100,421519704,1951024
112,112,0,0,1,2005,00000000010011010101000000100001,421519704,1951024
113,113,0,0,1,2006,00000000010001011001111110100101,421519704,1951024
114,114,0,0,1,2007,00000000001111011101111110000110,421519705,1951024
